,criteria,labels
2200,Workers ' tranning progra implemented,1
2201,workers access mainly to a multi - professional employee professionals service provider textile technician child health services,1
2202,Workers accces to am non - professional medecin service Medical and health service,1
2203,online written comments on internet times,1
2204,Emplyoee coments on social,1
2205,related other work - type injury injury,1
2206,No work'n - relationish injury,1
2207,with no other health illnesses related in injury,1
2208,No bad healthe ralated to work,1
2209,above 200 school teaching hours by general employee,1
2210,Hight averge training hours by employee,1
2211,skills acquisition course plus,1
2212,Skills upgrading progams,1
2213,photo group feedback session,1
2214,Frequent feedback sesion,1
2215,its academic focus placed on young hires,1
2216,Hight focus in various hires,1
2217,were we who have given an outstanding salary,1
2218,We are throwing an egual salary,1
2219,there was therefore no pressure brought in on modern female workplace,1
2220,There ws num discrimintion report on the workplace,1
